sample_id,split
Asia-3394,train
Asia-6544,train
Asia-9981,train
Americas-1160,train
Asia-3561,train
Asia-9024,train
Asia-8227,train
Asia-835,train
Oceania-50,train
Asia-1241,train
Asia-1074,train
Asia-10139,train
Asia-5019,train
Asia-9531,train
Asia-1308,train
Asia-7171,train
Asia-3086,train
Asia-10413,train
Asia-628,train
Asia-2728,train
Asia-4311,train
Asia-4692,train
Asia-10388,train
Asia-2588,train
Asia-5874,train
Asia-779,train
Asia-4835,train
Oceania-132,train
Asia-9710,train
Asia-6441,train
Oceania-84,train
Asia-10005,train
Africa-425,train
Asia-9852,train
Oceania-51,train
Asia-8558,train
Asia-9128,train
Europe-280,train
Asia-5602,train
Oceania-134,train
Asia-10400,train
Asia-1468,train
Asia-10637,train
Asia-6324,train
Americas-1163,train
Asia-1342,train
Asia-4553,train
Asia-5958,train
Asia-7628,train
Asia-7690,train
Asia-3118,train
Africa-58,train
Americas-1128,train
Asia-8139,train
Asia-10182,train
Americas-929,train
Asia-8300,train
Americas-948,train
Asia-2439,train
Americas-744,train
Asia-6678,train
Europe-256,train
Asia-763,train
Asia-10161,train
Asia-866,train
Asia-7079,train
Asia-6180,train
Asia-828,train
Asia-9059,train
Asia-5130,train
Asia-1463,train
Asia-4466,train
Americas-685,train
Europe-483,train
Americas-180,train
Asia-6098,train
Asia-1938,train
Asia-7731,train
Asia-10030,train
Asia-10358,train
Asia-532,train
Asia-4381,train
Asia-10734,train
Americas-496,train
Asia-6477,train
Asia-2100,train
Asia-7674,train
Asia-4985,train
Asia-4829,train
Americas-469,train
Asia-2419,train
Americas-710,train
Asia-4793,train
Asia-7708,train
Asia-713,train
Asia-2655,train
Asia-2958,train
Asia-2933,train
Asia-876,train
Asia-777,train
Asia-10084,train
Asia-5888,train
Asia-1253,train
Asia-10378,train
Asia-3030,train
Asia-3043,train
Asia-7969,train
Asia-1631,train
Asia-5421,train
Asia-7868,train
Asia-831,train
Asia-6961,train
Africa-357,train
Asia-214,train
Americas-860,train
Asia-6510,train
Asia-2238,train
Asia-6291,train
Asia-6695,train
Americas-1153,train
Asia-4938,train
Asia-1647,train
Asia-6879,train
Americas-1169,train
Asia-10821,train
Asia-898,train
Americas-695,train
Asia-8544,train
Asia-1725,train
Asia-7497,train
Asia-4015,train
Asia-342,train
Asia-8323,train
Asia-1728,train
Asia-9553,train
Asia-2670,train
Asia-5168,train
Asia-178,train
Asia-4215,train
Asia-1654,train
Americas-330,train
Asia-7330,train
Asia-9282,train
Asia-6744,train
Asia-8237,train
